Id,'Gas_Connection','Fireplace','Entrance_Hall','Kitchenette','Equipped',Garage_Type,'Furnished','Drainage','Telephone','Guest_Bathroom','BBQ_Area','Living_Room','Nearby_Parks','Solarium',Commercial_Use,Province,'Internal_Garden',Garages,'Electricity','Patio','Children_Playground',Type,Number_Bathrooms,'Green_Areas','Electric_Doorman',Construction_Area_m2,'Intercom','Near_Sea','Sauna','Cinema_Room','Cleaning_Service','Terrace',Construction_Area,'Sports_Area','Security_System',Location,'Water_Heater',Professional_Use,Match,'Club_House','Internal_Park','Laundry_Room','Nearby_Schools','Balcony','Attic','Oceanfront','Security_Guard',Natural_Light,'Swimming_Pool','Electric_Fence',Advertiser,'Air_Conditioning','Hall','Nearby_Shopping_Centers','Kitchen','Water','Basement','Independent_Bathroom','Walk_in_Closet',Age,Number_Floors,'Daily_Dining_Room','Grill','Closet',Publication_Date,'Internet','Sauna_Area',Bedrooms,Pets,'Kitchen_with_Cabinets','Service_Room','Garden','Storage_Room',Beach_Resort,'Cable','Gym','Jacuzzi','Independent_Entrance','Handicap_Access','Dining_Room','Office',Total_Area_m2,'Heating',District,'Daycare',Property_Condition,'Internet_Room','Service_Bathroom',Price
810,Not specified,0,Not specified,0,0,Separadas,0,0,Not specified,1,Not specified,0,0,Not specified,Not specified,Lima,0,1,Not specified,1,Not specified,Casa,3,Not specified,0,191,0,0,0,Not specified,Not specified,0,191.00 m2,Not specified,Not specified,JesusMaria-Lima,0,Not specified,0.0,Not specified,Not specified,1,0,0,0,0,Not specified,Muy luminoso,Not specified,0,JULIANA MONTES INMUEBLES,0,1,1,0,Not specified,0,0,0,5,3.0,0,0,0,Publicado el 20.07.19,Not specified,Not specified,4,Si,1,1,Not specified,0,Nulo,Not specified,Not specified,0,0,0,1,0,266,0,JesusMaria,Not specified,A Remodelar,Not specified,1,307000
811,Not specified,0,1,0,0,Not specified,1,0,Not specified,1,0,1,Not specified,0,Not specified,Lima,0,4,Not specified,0,0,Casa,4,0,0,656,0,Not specified,0,0,Not specified,1,656.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,0,No disponible,0,1,Not specified,0,Not specified,0,0,0,3,2.0,1,0,0,Publicado el 03.09.19,Not specified,0,5+,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,1,1624,0,SantiagoDeSurco,0,Not specified,0,1,2800000
812,0,0,Not specified,0,0,Lineales,0,1,0,1,Not specified,0,1,Not specified,Not specified,Callao,0,1,1,0,Not specified,Casa,3,Not specified,0,260,0,0,0,Not specified,1,0,260.00 m2,Not specified,0,Bellavista-Callao,0,Not specified,0.0,Not specified,Not specified,0,1,0,0,0,1,Luminoso,Not specified,0,FdJ inmobiliaria,0,0,1,1,1,0,0,0,3,2.0,1,0,0,Publicado el 05.09.19,0,Not specified,3,Si,0,1,Not specified,0,Nulo,0,Not specified,0,0,0,1,0,260,0,Bellavista,Not specified,Muy bueno,Not specified,1,230000
813,Not specified,Not specified,1,0,Not specified,Not specified,Not specified,Not specified,Not specified,1,0,1,Not specified,0,Not specified,Lima,0,2,Not specified,0,0,Casa,3,0,Not specified,350,Not specified,Not specified,Not specified,0,Not specified,0,350.00 m2,0,Not specified,SanIsidro-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,3,3.0,1,Not specified,0,Publicado el 23.08.19,Not specified,0,3,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,500,Not specified,SanIsidro,0,A Remodelar,0,1,1800000
814,Not specified,0,Not specified,0,0,Not specified,0,0,Not specified,0,Not specified,0,Not specified,Not specified,Not specified,Lima,1,2,Not specified,0,Not specified,Casa,3,Not specified,0,300,0,Not specified,0,Not specified,Not specified,1,300.00 m2,Not specified,Not specified,Miraflores-Lima,0,Not specified,0.0,Not specified,Not specified,0,Not specified,0,0,Not specified,Not specified,Not specified,Not specified,0,No disponible,0,0,Not specified,1,Not specified,0,0,1,3,3.0,0,1,0,Publicado el 17.09.19,Not specified,Not specified,4,Si,0,1,Not specified,0,Nulo,Not specified,Not specified,0,Not specified,Not specified,1,0,203,0,Miraflores,Not specified,A Remodelar,Not specified,1,620000
815,0,0,0,0,0,Separadas,1,0,0,1,0,0,Not specified,0,Not specified,Lima,0,2,1,0,0,Casa,5,0,0,757,0,Not specified,0,0,0,1,757.00 m2,0,1,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,1,0,Not specified,0,Luminoso,0,0,REMAX TEAM MOLINA,0,0,Not specified,1,1,0,0,1,3,2.0,1,0,0,Publicado el 16.09.19,0,1,5+,Si,0,0,0,0,Nulo,0,1,1,Not specified,Not specified,1,0,988,0,LaMolina,0,Remodelado,0,1,1500000
816,Not specified,0,0,0,0,Not specified,0,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,0,4,Not specified,0,0,Casa,4,0,0,215,0,Not specified,0,0,Not specified,1,215.00 m2,0,Not specified,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,0,Hogar & Estilo Inmobiliaria,1,1,Not specified,1,Not specified,0,0,1,9,2.0,1,1,0,Publicado el 25.04.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,0,1,Not specified,Not specified,1,1,725,0,LaMolina,0,Not specified,0,1,850000
817,0,0,0,0,0,Not specified,0,0,0,0,1,0,Not specified,0,Not specified,Lima,0,5,1,0,0,Casa,5,0,0,400,0,Not specified,0,0,0,1,400.00 m2,0,0,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,0,Not specified,0,0,PROIN SAC ,0,0,Not specified,1,1,0,0,1,3,2.0,0,1,0,Publicado el 18.09.19,0,0,4,Si,0,0,1,0,Nulo,0,0,0,Not specified,Not specified,0,0,1500,0,LaMolina,0,Not specified,0,0,1200000
818,0,Not specified,1,0,Not specified,Not specified,Not specified,Not specified,0,1,0,1,Not specified,0,Not specified,Lima,1,4,0,0,0,Casa en condominio,5,0,Not specified,405,Not specified,Not specified,Not specified,0,0,1,405.00 m2,0,0,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,1,Not specified,No disponible,Not specified,1,Not specified,1,0,0,0,1,9,2.0,1,Not specified,0,Publicado el 21.08.19,0,0,4,Si,Not specified,1,1,0,Nulo,0,0,Not specified,Not specified,Not specified,1,0,600,Not specified,LaMolina,0,Not specified,0,1,990000
819,Not specified,1,1,0,0,Paralelas,0,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,2,Not specified,0,0,Casa,5,0,0,400,0,Not specified,0,0,Not specified,1,400.00 m2,0,Not specified,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,Carolina Alvarez Maza,0,1,Not specified,1,Not specified,1,0,1,2,3.0,1,1,0,Publicado el 28.06.19,Not specified,0,3,Si,0,1,1,0,Nulo,Not specified,0,1,Not specified,Not specified,1,1,464,0,LaMolina,0,Muy bueno,0,1,980000
820,1,Not specified,Not specified,0,Not specified,Paralelas,Not specified,Not specified,1,1,Not specified,0,1,Not specified,No,Lima,0,1,1,0,Not specified,Casa,5,Not specified,Not specified,358,Not specified,0,Not specified,Not specified,0,0,358.00 m2,Not specified,0,CercadoDeLima-Lima,Not specified,No,0.0,Not specified,Not specified,0,1,1,0,0,0,Muy luminoso,Not specified,Not specified,AGENTE  REMAX ROCIO DIAZ,Not specified,0,1,1,1,0,0,0,3,3.0,1,Not specified,0,Publicado el 13.09.19,1,Not specified,5+,Si,Not specified,1,Not specified,1,Nulo,0,Not specified,Not specified,0,0,1,0,169,Not specified,CercadoDeLima,Not specified,Regular,Not specified,1,235000
821,Not specified,1,1,0,0,Not specified,1,0,Not specified,0,0,1,0,0,Not specified,Lima,0,4,Not specified,1,0,Casa,4,0,0,500,0,0,0,0,Not specified,1,500.00 m2,0,Not specified,Chorrillos-Lima,0,Not specified,0.0,0,0,1,0,0,0,1,Not specified,Not specified,1,0,No disponible,0,1,0,1,Not specified,0,0,1,4,2.0,0,1,0,Publicado el 19.08.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,1,1,0,0,1,1,1080,0,Chorrillos,0,Not specified,0,1,750000
822,0,Not specified,Not specified,0,Not specified,Lineales,Not specified,Not specified,0,0,Not specified,0,1,Not specified,Si,Lima,0,1,1,1,Not specified,Casa,2,Not specified,Not specified,160,Not specified,0,Not specified,Not specified,0,1,160.00 m2,Not specified,0,Chorrillos-Lima,Not specified,Si,0.0,Not specified,Not specified,1,0,1,0,0,0,Luminoso,Not specified,Not specified,CASAS & DISEÃOS SAC.,Not specified,1,1,1,1,0,0,0,2,2.0,0,Not specified,0,Publicado el 13.09.19,0,Not specified,4,Si,Not specified,0,Not specified,1,Nulo,0,Not specified,Not specified,0,0,1,0,125,Not specified,Chorrillos,Not specified,Bueno,Not specified,0,210000
823,0,Not specified,Not specified,Not specified,Not specified,NoTiene,Not specified,Not specified,1,Not specified,Not specified,Not specified,1,Not specified,Si,Lima,Not specified,0,1,Not specified,Not specified,Casa,5,Not specified,Not specified,200,Not specified,1,Not specified,Not specified,0,Not specified,200.00 m2,Not specified,0,Chorrillos-Lima,Not specified,Si,0.0,Not specified,Not specified,Not specified,1,Not specified,Not specified,0,0,Luminoso,Not specified,Not specified,No disponible,Not specified,Not specified,0,Not specified,1,Not specified,Not specified,Not specified,3,3.0,Not specified,Not specified,Not specified,Publicado el 30.08.19,1,Not specified,5+,Si,Not specified,Not specified,Not specified,Not specified,Nulo,1,Not specified,Not specified,0,0,Not specified,Not specified,200,Not specified,Chorrillos,Not specified,Bueno,Not specified,Not specified,380000
824,0,Not specified,Not specified,0,Not specified,Paralelas,Not specified,Not specified,1,1,Not specified,1,1,Not specified,Si,Lima,1,2,1,1,Not specified,Casa,3,Not specified,Not specified,180,Not specified,0,Not specified,Not specified,0,1,180.00 m2,Not specified,1,SanJuanDeLurigancho-Lima,Not specified,No,0.0,Not specified,Not specified,1,1,0,0,0,0,Muy luminoso,Not specified,Not specified,No disponible,Not specified,1,1,1,1,1,0,0,3,1.0,1,Not specified,1,Publicado el 01.08.19,1,Not specified,3,Si,Not specified,0,Not specified,1,Nulo,1,Not specified,Not specified,0,0,1,1,180,Not specified,SanJuanDeLurigancho,Not specified,Excelente,Not specified,0,169500
825,Not specified,Not specified,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,1,0,1,Not specified,0,Not specified,Lima,0,5,Not specified,0,0,Casa,5,0,Not specified,1000,Not specified,Not specified,Not specified,0,Not specified,1,1000.00 m2,0,Not specified,SantiagoDeSurco-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,3,2.0,1,Not specified,0,Publicado el 19.08.19,Not specified,0,4,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,1,2515,Not specified,SantiagoDeSurco,0,Muy bueno,0,1,3500000
826,0,0,0,0,0,Paralelas,0,1,0,1,0,0,0,0,Si,Lima,0,5,1,0,0,Casa,4,0,0,495,0,0,0,0,0,0,495.20 m2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000
827,0,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,1,1,Not specified,0,1,Not specified,Not specified,Lambayeque,0,2,1,0,Not specified,Casa,5,Not specified,Not specified,350,Not specified,0,Not specified,Not specified,0,0,350.00 m2,Not specified,0,Chiclayo-Lambayeque,Not specified,Not specified,0.0,Not specified,Not specified,0,0,0,1,0,0,Not specified,Not specified,Not specified,Depas PerÃº,Not specified,0,1,1,1,0,0,0,2,3.0,1,Not specified,0,Publicado el 13.08.19,0,Not specified,5+,Si,Not specified,1,Not specified,1,Nulo,1,Not specified,Not specified,0,0,1,0,350,Not specified,Chiclayo,Not specified,Not specified,Not specified,1,290000
828,Not specified,Not specified,1,0,Not specified,Paralelas,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,2,Not specified,0,0,Casa en condominio,3,0,Not specified,225,Not specified,Not specified,Not specified,0,Not specified,1,225.00 m2,0,Not specified,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,1,2,3.0,1,Not specified,0,Publicado el 08.09.19,Not specified,0,3,Si,Not specified,1,0,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,1,157,Not specified,LaMolina,0,Bueno,0,1,380000
829,0,0,0,0,0,Not specified,0,0,0,1,1,0,0,0,Not specified,Lima,0,3,1,0,0,Casa de Playa,4,0,0,197,0,1,0,0,0,0,197.60 m2,0,0,Asia-Lima,0,Not specified,0.0,0,0,0,0,1,0,0,0,Muy luminoso,0,0,Buro Propiedades,0,0,0,1,1,0,0,0,3,3.0,1,1,0,Publicado el 30.03.19,0,0,4,Si,1,1,1,0,Not specified,0,1,0,0,0,1,0,197,0,Asia,0,Not specified,0,1,650000
830,Not specified,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,0,Not specified,1,Not specified,Not specified,Not specified,Lima,0,1,Not specified,1,Not specified,Casa,4,Not specified,Not specified,300,Not specified,Not specified,Not specified,Not specified,Not specified,1,300.00 m2,Not specified,Not specified,Barranco-Lima,Not specified,Not specified,0.0,Not specified,Not specified,1,Not specified,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,1,3.0,1,Not specified,0,Publicado el 17.09.19,Not specified,Not specified,5+,Si,Not specified,1,Not specified,0,Nulo,Not specified,Not specified,Not specified,Not specified,Not specified,1,1,150,Not specified,Barranco,Not specified,A Remodelar,Not specified,1,490000
831,0,0,1,0,0,Paralelas,1,0,0,0,1,1,Not specified,0,Not specified,Lima,0,4,0,1,0,Casa de Playa,5,1,0,600,0,Not specified,0,0,0,1,600.00 m2,1,0,Asia-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,1,0,No disponible,0,1,Not specified,1,0,1,0,1,9,6.0,1,1,0,Publicado el 05.08.19,0,0,5+,No,0,1,0,0,El Golf,0,0,1,Not specified,Not specified,1,1,600,0,Asia,0,Not specified,0,1,1000000
832,0,0,1,0,0,Paralelas,0,0,0,0,0,1,Not specified,0,Not specified,Lima,1,2,0,1,0,Casa en condominio,4,0,0,249,0,Not specified,0,0,0,1,249.00 m2,0,0,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,0,0,No disponible,1,1,Not specified,1,0,0,0,1,1,2.0,1,1,0,Publicado el 20.08.19,0,0,4,Si,0,1,1,0,Nulo,0,0,0,Not specified,Not specified,1,1,321,0,LaMolina,0,Not specified,0,1,493000
833,0,1,1,0,0,Paralelas,0,0,0,0,0,1,Not specified,0,Not specified,Lima,1,4,0,1,0,Casa en condominio,3,0,0,640,0,Not specified,0,0,0,1,640.00 m2,0,0,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,1,0,No disponible,1,1,Not specified,1,0,1,0,1,1,3.0,1,1,0,Publicado el 05.09.19,0,0,3,Si,0,1,1,0,Nulo,0,1,1,Not specified,Not specified,1,0,700,0,LaMolina,0,Muy bueno,0,1,1800000
834,0,0,0,0,0,Paralelas,0,1,1,1,0,1,1,0,Not specified,Lambayeque,0,2,1,0,1,Casa,3,1,1,154,0,0,0,0,0,1,154.80 m2,0,1,Chiclayo-Lambayeque,1,Not specified,0.0,0,1,1,1,0,0,0,1,Luminoso,0,0,LULA BOTEY INMOBILIARIA,1,1,1,1,1,0,0,0,3,3.0,0,1,1,Publicado el 13.07.19,1,0,3,Si,1,1,0,1,Nulo,1,0,0,0,0,1,0,127,0,Chiclayo,0,Remodelado,0,1,180000
835,0,0,Not specified,0,0,Not specified,0,1,0,0,Not specified,1,1,Not specified,Not specified,Lima,0,1,1,0,Not specified,Casa,3,Not specified,0,252,0,0,0,Not specified,0,0,252.22 m2,Not specified,0,LosOlivos-Lima,0,Not specified,0.0,Not specified,Not specified,1,1,0,0,0,0,Not specified,Not specified,0,Elmer AgÃ¼ero,0,0,1,1,1,0,0,0,3,2.0,0,0,0,Publicado el 13.09.19,0,Not specified,5+,Si,0,0,Not specified,0,Nulo,0,Not specified,0,0,0,1,0,160,0,LosOlivos,Not specified,Not specified,Not specified,0,179000
836,Not specified,Not specified,1,0,Not specified,Paralelas,Not specified,Not specified,Not specified,1,0,1,Not specified,0,Not specified,Lima,0,2,Not specified,0,0,Casa,4,0,Not specified,383,Not specified,Not specified,Not specified,0,Not specified,1,383.00 m2,0,Not specified,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,0,Not specified,1,Not specified,0,0,0,2,2.0,1,Not specified,0,Publicado el 16.09.19,Not specified,0,4,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,800,Not specified,LaMolina,0,Bueno,0,1,750000
837,0,0,Not specified,0,0,Paralelas,0,1,1,1,Not specified,1,1,Not specified,Not specified,Piura,0,1,1,0,Not specified,Casa,3,Not specified,0,240,0,0,0,Not specified,0,1,240.00 m2,Not specified,1,Piura-Piura,1,Not specified,0.0,Not specified,Not specified,1,1,0,0,0,0,Luminoso,Not specified,0,Bazco Inmuebles y Bienes RaÃ­ces.,0,1,1,1,1,0,0,0,4,2.0,1,0,1,Publicado el 12.09.19,1,Not specified,3,Si,0,1,Not specified,1,Nulo,1,Not specified,0,0,0,1,1,120,0,Piura,Not specified,Muy bueno,Not specified,0,125000
838,0,0,0,0,0,Not specified,1,0,0,0,0,0,Not specified,0,Not specified,Lima,0,2,0,0,0,Casa de Playa en condominio,5,1,0,200,0,Not specified,0,0,0,1,200.00 m2,1,0,Asia-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,1,0,No disponible,0,1,Not specified,1,0,0,0,0,1,3.0,0,1,0,Publicado el 19.09.19,0,0,5+,No,0,1,1,0,Nulo,0,0,0,Not specified,Not specified,1,0,200,0,Asia,0,Remodelado,0,1,430000
839,1,0,Not specified,Not specified,0,NoTiene,0,1,0,Not specified,Not specified,Not specified,0,Not specified,Si,Lima,Not specified,0,1,Not specified,Not specified,Casa,2,Not specified,0,240,0,0,0,Not specified,0,Not specified,240.00 m2,Not specified,0,SanJuanDeMiraflores-Lima,0,Not specified,0.0,Not specified,Not specified,Not specified,1,Not specified,Not specified,0,0,Muy luminoso,Not specified,0,ALFICORP-INMOBILIARIA,0,Not specified,0,Not specified,1,Not specified,Not specified,Not specified,8,2.0,Not specified,0,Not specified,Publicado el 11.09.19,1,Not specified,4,Si,0,Not specified,Not specified,Not specified,Nulo,1,Not specified,0,0,0,Not specified,Not specified,180,0,SanJuanDeMiraflores,Not specified,Bueno,Not specified,Not specified,85000
840,0,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,0,1,Not specified,0,Not specified,Not specified,Not specified,Lima,0,2,0,0,Not specified,Casa,5,Not specified,Not specified,200,Not specified,Not specified,Not specified,Not specified,0,0,200.00 m2,Not specified,0,SantiagoDeSurco-Lima,Not specified,Not specified,0.0,Not specified,Not specified,0,Not specified,0,0,Not specified,0,Not specified,Not specified,Not specified,OFALDI INVERSIONES DEL PERU  ,Not specified,0,Not specified,0,1,0,0,0,3,2.0,1,Not specified,0,Publicado el 30.04.19,0,Not specified,4,Si,Not specified,1,Not specified,1,Nulo,0,Not specified,Not specified,Not specified,Not specified,0,0,294,Not specified,SantiagoDeSurco,Not specified,Not specified,Not specified,1,520000
841,Not specified,Not specified,0,0,Not specified,Paralelas,Not specified,Not specified,Not specified,1,0,0,Not specified,0,Not specified,Lima,0,3,Not specified,0,0,Casa en condominio,3,0,Not specified,372,Not specified,Not specified,Not specified,0,Not specified,1,372.00 m2,0,Not specified,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,2,2.0,1,Not specified,0,Publicado el 02.09.19,Not specified,0,3,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,1082,Not specified,LaMolina,0,Not specified,0,1,1300000
842,Not specified,0,0,0,0,Not specified,0,0,Not specified,1,0,1,Not specified,0,Not specified,Ica,1,4,Not specified,1,0,Casa,4,0,0,350,0,Not specified,0,0,Not specified,1,350.00 m2,0,Not specified,Ica-Ica,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,No disponible,0,1,Not specified,1,Not specified,0,0,0,4,2.0,1,1,0,Publicado el 07.08.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,1,490,0,Ica,0,Bueno,0,1,780000
843,Not specified,Not specified,1,0,Not specified,Paralelas,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,2,Not specified,0,0,Casa,4,0,Not specified,396,Not specified,Not specified,Not specified,0,Not specified,1,396.00 m2,0,Not specified,SantiagoDeSurco-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,1,2.0,1,Not specified,0,Publicado el 20.08.19,Not specified,0,3,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,962,Not specified,SantiagoDeSurco,0,Not specified,0,1,950000
844,Not specified,0,Not specified,0,0,Paralelas,0,0,Not specified,1,Not specified,0,1,Not specified,Not specified,Lima,0,5,Not specified,0,Not specified,Casa,4,Not specified,0,465,1,0,0,Not specified,Not specified,0,465.00 m2,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950000
845,0,0,0,0,1,Paralelas,1,1,0,1,1,0,1,0,Not specified,Lima,0,3,1,0,0,Casa de Playa,4,0,0,220,1,1,0,0,0,0,220.00 m2,0,1,SanBartolo-Lima,1,Not specified,0.0,0,0,0,0,1,1,0,0,Muy luminoso,0,0,Salas Felipe,,0,0,0,1,1,0,0,0,2.0,2,1,1,0,Publicado el 22.08.19,1,0,4,Si,1,1,0,1,Curayacu,1,0,0,0,0,1,0,300,0,SanBartolo,0,Bueno,0,220000
846,0,0,1,0,0,Paralelas,0,1,1,1,0,0,1,0,Not specified,Lima,0,3,1,0,0,Casa,5,0,1,420,1,0,0,0,0,0,420.00 m2,0,1,SanBorja-Lima,1,Not specified,0.0,0,0,0,1,1,0,0,1,Luminoso,0,0,Wilmer Blas,0,0,1,1,1,0,0,0,3,3.0,1,0,0,Publicado el 25.08.19,1,0,5+,Si,1,1,1,1,Nulo,1,0,0,0,0,1,0,420,0,SanBorja,0,Remodelado,0,1,730000
847,0,Not specified,0,0,Not specified,Paralelas,Not specified,Not specified,0,1,0,1,Not specified,0,Not specified,Lima,0,2,0,0,0,Casa en condominio,4,0,Not specified,290,Not specified,Not specified,Not specified,0,0,1,290.00 m2,0,0,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,0,0,0,0,1,2.0,1,Not specified,0,Publicado el 03.09.19,0,0,3,Si,Not specified,1,1,0,Nulo,0,0,Not specified,Not specified,Not specified,1,1,300,Not specified,LaMolina,0,Muy bueno,0,1,465000
848,0,0,0,0,0,Not specified,0,0,0,0,0,1,0,0,Not specified,Lima,0,4,0,0,0,Casa de Playa,5,1,0,580,0,0,0,0,0,1,580.00 m2,0,0,Asia-Lima,0,Not specified,0.0,0,0,1,0,0,0,1,1,Not specified,1,0,No disponible,1,1,0,1,0,0,0,1,4,4.0,0,1,0,Publicado el 28.08.19,0,0,5+,Si,0,1,0,0,El Golf,0,0,0,0,0,1,0,220,0,Asia,0,Not specified,0,1,1200000
849,Not specified,0,1,0,0,Paralelas,0,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,3,Not specified,0,0,Casa en condominio,4,0,0,373,0,Not specified,0,0,Not specified,1,373.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,0,ELIGUEV INMUEBLES,1,1,Not specified,1,Not specified,0,0,1,1,2.0,0,1,0,Publicado el 31.07.19,Not specified,0,3,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,1,400,0,SantiagoDeSurco,0,Muy bueno,0,1,1150000
850,Not specified,0,1,0,0,NoTiene,0,0,Not specified,0,0,0,0,0,Not specified,LaLibertad,0,0,Not specified,0,0,Casa de Playa,3,1,0,230,1,1,0,0,Not specified,0,230.00 m2,0,Not specified,Huanchaco-LaLibertad,0,Not specified,0.0,0,0,0,0,0,0,1,Not specified,Muy luminoso,0,0,No disponible,0,0,0,1,Not specified,0,0,0,3,2.0,0,0,0,Publicado el 26.08.19,Not specified,0,3,Si,1,0,0,0,Huanchaco,Not specified,0,0,0,0,0,0,500,0,Huanchaco,0,Excelente,0,0,255000
851,0,Not specified,0,0,Not specified,Not specified,Not specified,Not specified,1,0,0,1,Not specified,0,Not specified,Lima,0,5,1,0,1,Casa de campo,4,1,Not specified,380,Not specified,Not specified,Not specified,0,0,0,380.00 m2,0,0,Chaclacayo-Lima,Not specified,Not specified,0.0,0,0,0,Not specified,0,0,Not specified,0,Not specified,1,Not specified,Bekzah grupo inmobiliario,Not specified,0,Not specified,0,1,0,0,1,3,2.0,0,Not specified,0,Publicado el 07.09.19,0,0,5+,Si,Not specified,0,0,0,Nulo,0,1,Not specified,Not specified,Not specified,0,0,1125,Not specified,Chaclacayo,0,Excelente,0,0,790000
852,Not specified,Not specified,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,4,Not specified,0,0,Casa,4,0,Not specified,495,Not specified,Not specified,Not specified,0,Not specified,1,495.00 m2,0,Not specified,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,1,4,2.0,1,Not specified,0,Publicado el 18.09.19,Not specified,0,5+,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,1,1000,Not specified,LaMolina,0,Bueno,0,1,2000000
853,0,1,0,0,0,Paralelas,0,0,0,1,1,0,1,0,Not specified,Lima,0,5,1,0,0,Casa de campo,5,0,1,300,1,0,0,0,0,0,300.00 m2,0,1,Chaclacayo-Lima,1,Not specified,0.0,0,0,0,1,1,1,0,0,Not specified,0,1,VALORUM BIENES RAICES SAC ,0,0,0,1,1,0,0,0,3,2.0,1,1,0,Publicado el 07.09.19,0,0,5+,Si,1,1,0,1,Nulo,0,0,0,0,0,1,0,3000,0,Chaclacayo,0,A Remodelar,0,1,980000
